"1-Stage:stage_duration","1-Stage:stage_update_count","2-Stage:stage_duration","2-Stage:stage_update_count","3-Stage:stage_duration","3-Stage:stage_update_count","4-Stage:stage_duration","4-Stage:stage_update_count","5-Stage:stage_duration","5-Stage:stage_update_count","Amount","Amount_count","CloseDate","CloseDate_count","Competition","Competition_count","ForecastCategoryName","ForecastCategoryName_count","Incremental_from_Partner","Incremental_from_Partner_count","Lead_Conversion_Notes","Lead_Conversion_Notes_count","Meeting_Completed_Date","Meeting_Completed_Date_count","Owner","Owner_count","Region","Region_count","Scheduled_Meeting_Date","Scheduled_Meeting_Date_count","Solution_Category","Solution_Category_count","Who_Won_the_Deal","Who_Won_the_Deal_count","Why_Closed_Lost","Why_Closed_Lost_count","created","created_count","opportunityCreatedFromLead","opportunityCreatedFromLead_count","outcome"
"11.0","9.0","0.0","0.0","0.0","0.0","21.0","4.0","18.0","4.0","32007.2","6.0","2013-10-07","4.0","No","0.0","Closed","4.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","2"
"0.0","3.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","60000.0","1.0","2014-04-23","1.0","No","0.0","Best Case","1.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","4"
"26.0","10.0","0.0","0.0","0.0","0.0","38.0","2.0","0.0","0.0","14076.54","6.0","2013-12-31","3.0","No","0.0","Closed","6.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","3.0","No","0.0","2"
"0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","2.0","0.0","0.0","2014-03-11","1.0","No","0.0","Closed","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","2"
"1.0","2.0","0.0","0.0","105.0","5.0","0.0","0.0","0.0","0.0","3185.0","1.0","2014-05-16","3.0","No","0.0","Omitted","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","4"
"0.0","1.0","0.0","0.0","17.0","47.0","12.0","47.0","10.0","11.0","465000.0","90.0","2014-02-09","45.0","null","9.0","Closed","63.0","No","0.0","null","9.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"0.0","0.0","0.0","0.0","0.0","0.0","65.0","22.0","0.0","0.0","0.0","0.0","2013-09-18","30.0","No","0.0","Closed","20.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"33.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2014-03-16","4.0","No","0.0","Omitted","2.0","No","0.0","No","0.0","No","0.0","00540000002KIi5AAG","2.0","No","0.0","No","0.0","No","0.0","No","0.0","Customer Internal Politics","1.0","No","0.0","No","0.0","3"
"129.0","20.0","0.0","0.0","0.0","0.0","6.0","2.0","0.0","0.0","0.0","0.0","2013-11-28","9.0","No","0.0","Closed","18.0","No","0.0","No","0.0","No","0.0","George Palermo","36.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"6.0","5.0","0.0","0.0","0.0","0.0","33.0","5.0","0.0","0.0","5000.0","4.0","2013-09-24","4.0","No","0.0","Omitted","6.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","3"
"3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","No","0.0","No","0.0","Omitted","2.0","No","0.0","No","0.0","null","1.0","No","0.0","No","0.0","2013-07-24","1.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","4"
"0.0","2.0","0.0","0.0","0.0","0.0","179.0","8.0","42.0","11.0","0.0","0.0","2014-03-01","20.0","No","0.0","Closed","4.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"5.0","12.0","0.0","0.0","37.0","2.0","32.0","4.0","36.0","14.0","30000.0","15.0","2014-03-21","9.0","No","0.0","Closed","9.0","No","0.0","No","0.0","No","0.0","Tye Toles","6.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","3.0","No","0.0","2"
"154.0","45.0","0.0","0.0","0.0","0.0","19.0","24.0","14.0","10.0","55000.0","42.0","2014-01-31","33.0","null","3.0","Closed","15.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","6.0","null","6.0","No","0.0","No","0.0","2"
"0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","2.0","0.0","0.0","2014-03-19","1.0","No","0.0","Closed","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","2"
"18.0","6.0","0.0","0.0","5.0","2.0","155.0","13.0","0.0","0.0","36080.0","4.0","2014-03-31","8.0","No","0.0","Omitted","4.0","No","0.0","null","4.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","4"
"53.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","47.0","14.0","8000.0","8.0","2013-02-05","16.0","No","0.0","Closed","8.0","No","4.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"40.0","10.0","0.0","0.0","0.0","0.0","28.0","5.0","0.0","0.0","220280.26","8.0","2014-05-28","1.0","No","0.0","Omitted","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","Cisco/Meraki","1.0","Customer Internal Politics","1.0","null","1.0","No","0.0","3"
"0.0","5.0","18.0","1.0","10.0","2.0","0.0","0.0","0.0","0.0","31475.0","1.0","2014-03-21","1.0","No","0.0","Omitted","4.0","No","0.0","No","0.0","No","0.0","00540000002KIi5AAG","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","4"
"35.0","151.0","0.0","0.0","0.0","0.0","0.0","0.0","39.0","141.0","676549.88","290.0","2013-10-02","20.0","No","0.0","Closed","30.0","No","0.0","No","0.0","No","0.0","00540000000lhbEAAQ","10.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"54.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","63.0","8.0","99000.0","2.0","2014-03-05","4.0","No","0.0","Closed","4.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","2"
