"1-Stage:stage_duration","1-Stage:stage_update_count","2-Stage:stage_duration","2-Stage:stage_update_count","3-Stage:stage_duration","3-Stage:stage_update_count","4-Stage:stage_duration","4-Stage:stage_update_count","5-Stage:stage_duration","5-Stage:stage_update_count","outcome"
"165.0","50.0","0.0","0.0","0.0","0.0","22.0","2.0","8.0","8.0","2"
"47.0","18.0","116.0","21.0","24.0","14.0","0.0","0.0","1.0","8.0","2"
"30.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","1.0","2"
"55.0","3.0","0.0","0.0","0.0","0.0","129.0","6.0","0.0","0.0","3"
"0.0","13.0","0.0","0.0","296.0","26.0","0.0","0.0","0.0","0.0","2"
"0.0","8.0","0.0","0.0","158.0","8.0","0.0","0.0","0.0","0.0","4"
"30.0","6.0","0.0","0.0","262.0","26.0","0.0","0.0","0.0","0.0","2"
"0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"9.0","5.0","0.0","0.0","26.0","2.0","0.0","0.0","0.0","0.0","2"
"12.0","8.0","0.0","0.0","0.0","0.0","202.0","1.0","344.0","8.0","2"
"383.0","15.0","0.0","0.0","0.0","0.0","88.0","6.0","0.0","0.0","2"
"5.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","2.0","2"
"0.0","3.0","0.0","0.0","0.0","0.0","61.0","13.0","0.0","0.0","2"
"3.0","4.0","0.0","0.0","0.0","0.0","51.0","3.0","0.0","0.0","2"
"49.0","25.0","0.0","0.0","0.0","0.0","1.0","9.0","0.0","0.0","2"
"15.0","5.0","0.0","0.0","56.0","25.0","0.0","0.0","0.0","0.0","2"
"0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"111.0","7.0","0.0","0.0","503.0","4.0","0.0","0.0","0.0","0.0","4"
"0.0","3.0","10.0","4.0","0.0","1.0","0.0","2.0","105.0","23.0","2"
"196.0","14.0","0.0","0.0","36.0","2.0","0.0","0.0","7.0","18.0","2"
"0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"47.0","4.0","0.0","0.0","3.0","4.0","284.0","4.0","36.0","4.0","2"
"0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","24.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"155.0","8.0","153.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"123.0","25.0","24.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"24.0","40.0","274.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"88.0","5.0","0.0","0.0","0.0","0.0","149.0","9.0","0.0","0.0","2"
"3.0","3.0","0.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","2"
"8.0","22.0","0.0","0.0","50.0","8.0","0.0","0.0","21.0","4.0","2"
"3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","25.0","5.0","2"
"0.0","20.0","61.0","11.0","0.0","0.0","0.0","0.0","9.0","2.0","2"
"30.0","5.0","0.0","0.0","0.0","0.0","55.0","6.0","45.0","4.0","2"
"31.0","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"27.0","65.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","30.0","2"
"0.0","16.0","72.0","21.0","59.0","14.0","0.0","0.0","0.0","0.0","3"
"28.0","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"18.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"34.0","2.0","0.0","0.0","53.0","2.0","0.0","0.0","0.0","0.0","4"
"271.0","22.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","5.0","2"
"167.0","24.0","0.0","0.0","582.0","25.0","54.0","5.0","0.0","0.0","4"
"0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","7.0","0.0","0.0","0.0","0.0","59.0","10.0","7.0","13.0","2"
"0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"562.0","30.0","0.0","0.0","0.0","0.0","163.0","7.0","0.0","0.0","2"
"0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"6.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0","2"
"4.0","11.0","49.0","1.0","48.0","2.0","0.0","0.0","0.0","0.0","4"
"0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","3.0","2"
"79.0","30.0","0.0","0.0","0.0","0.0","0.0","0.0","66.0","54.0","2"
"40.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","4.0","2"
"108.0","5.0","0.0","0.0","531.0","9.0","0.0","0.0","0.0","0.0","4"
"6.0","30.0","0.0","0.0","167.0","39.0","0.0","0.0","0.0","0.0","3"
"32.0","12.0","0.0","0.0","260.0","8.0","24.0","2.0","31.0","2.0","2"
"71.0","24.0","498.0","27.0","0.0","0.0","41.0","5.0","0.0","0.0","2"
"8.0","11.0","0.0","0.0","238.0","3.0","0.0","0.0","0.0","0.0","4"
"15.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","6.0","2"
"71.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","3.0","2"
"0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"31.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","69.0","2.0","2"
"129.0","9.0","0.0","0.0","0.0","0.0","0.0","3.0","40.0","5.0","2"
"7.0","4.0","0.0","0.0","0.0","0.0","150.0","9.0","0.0","0.0","2"
"20.0","12.0","0.0","0.0","7.0","15.0","0.0","0.0","35.0","25.0","2"
"48.0","13.0","0.0","0.0","230.0","29.0","21.0","6.0","0.0","0.0","2"
"74.0","14.0","0.0","0.0","647.0","12.0","0.0","0.0","0.0","0.0","4"
"92.0","13.0","0.0","0.0","124.0","16.0","18.0","3.0","0.0","2.0","2"
"99.0","19.0","0.0","0.0","0.0","0.0","96.0","13.0","0.0","0.0","2"
"7.0","1.0","0.0","0.0","203.0","5.0","0.0","0.0","0.0","0.0","2"
"16.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","4.0","2"
"0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"133.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","6.0","2"
"0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"3.0","6.0","0.0","0.0","0.0","0.0","89.0","9.0","0.0","0.0","2"
"11.0","2.0","0.0","0.0","0.0","0.0","30.0","5.0","0.0","0.0","2"
"76.0","30.0","0.0","0.0","0.0","0.0","400.0","29.0","0.0","0.0","2"
"0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"8.0","20.0","0.0","0.0","146.0","5.0","0.0","0.0","0.0","0.0","4"
"0.0","37.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2"
"0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"33.0","23.0","0.0","0.0","1119.0","15.0","0.0","0.0","0.0","0.0","2"
"67.0","44.0","0.0","0.0","1.0","4.0","33.0","13.0","5.0","5.0","2"
"0.0","18.0","0.0","0.0","0.0","0.0","0.0","0.0","108.0","4.0","2"
"114.0","12.0","0.0","0.0","0.0","0.0","61.0","5.0","0.0","0.0","2"
"22.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"28.0","10.0","0.0","0.0","104.0","3.0","0.0","0.0","0.0","0.0","3"
"5.0","2.0","41.0","3.0","53.0","2.0","0.0","0.0","0.0","0.0","3"
"20.0","4.0","0.0","0.0","101.0","6.0","26.0","3.0","0.0","0.0","2"
"5.0","5.0","15.0","1.0","56.0","2.0","0.0","0.0","0.0","0.0","4"
"5.0","2.0","0.0","0.0","78.0","2.0","0.0","0.0","0.0","0.0","4"
"11.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"56.0","9.0","34.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","3"
"50.0","1.0","0.0","0.0","12.0","8.0","161.0","50.0","263.0","69.0","2"
"2.0","9.0","0.0","0.0","0.0","0.0","205.0","32.0","0.0","0.0","4"
"48.0","5.0","72.0","23.0","8.0","2.0","22.0","3.0","54.0","17.0","2"
"13.0","9.0","140.0","3.0","0.0","0.0","90.0","11.0","0.0","0.0","4"
"53.0","27.0","0.0","1.0","0.0","0.0","11.0","3.0","66.0","40.0","2"
"363.0","19.0","545.0","24.0","0.0","6.0","85.0","8.0","0.0","0.0","2"
"82.0","6.0","0.0","0.0","1252.0","11.0","0.0","0.0","0.0","0.0","4"
"21.0","4.0","0.0","0.0","0.0","0.0","32.0","9.0","0.0","0.0","2"
"0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","2"
"0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"289.0","31.0","0.0","0.0","0.0","0.0","1.0","4.0","77.0","51.0","2"
"0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"88.0","12.0","0.0","0.0","0.0","0.0","54.0","5.0","0.0","0.0","2"
"201.0","28.0","53.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"35.0","10.0","0.0","0.0","0.0","0.0","276.0","4.0","0.0","0.0","2"
"29.0","84.0","0.0","0.0","0.0","3.0","0.0","3.0","15.0","44.0","2"
"0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"20.0","8.0","0.0","0.0","96.0","7.0","0.0","0.0","0.0","0.0","3"
"29.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","139.0","6.0","4"
"7.0","4.0","0.0","0.0","0.0","0.0","27.0","4.0","2.0","3.0","2"
"431.0","33.0","18.0","10.0","0.0","0.0","29.0","6.0","0.0","0.0","3"
"68.0","27.0","0.0","0.0","0.0","0.0","329.0","86.0","49.0","7.0","2"
"4.0","5.0","0.0","0.0","0.0","0.0","1.0","3.0","0.0","0.0","2"
"1020.0","43.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","5.0","2"
"66.0","7.0","0.0","0.0","223.0","37.0","0.0","0.0","32.0","12.0","2"
"6.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","4.0","2"
"0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"446.0","11.0","1.0","2.0","157.0","7.0","0.0","0.0","0.0","0.0","4"
"494.0","31.0","100.0","8.0","0.0","0.0","74.0","15.0","72.0","11.0","2"
"146.0","3.0","0.0","0.0","0.0","0.0","796.0","17.0","0.0","0.0","4"
"158.0","20.0","0.0","0.0","0.0","0.0","26.0","1.0","0.0","0.0","4"
"53.0","7.0","0.0","0.0","338.0","25.0","0.0","0.0","31.0","9.0","2"
"0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"3.0","5.0","0.0","0.0","92.0","9.0","0.0","0.0","58.0","17.0","2"
"0.0","6.0","0.0","0.0","40.0","5.0","0.0","0.0","0.0","0.0","2"
"13.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"98.0","34.0","0.0","0.0","0.0","0.0","122.0","17.0","0.0","0.0","2"
"62.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"131.0","14.0","0.0","0.0","1.0","3.0","74.0","10.0","0.0","0.0","2"
"42.0","24.0","0.0","0.0","0.0","0.0","59.0","4.0","0.0","0.0","2"
"3.0","9.0","17.0","9.0","87.0","19.0","3.0","5.0","0.0","0.0","2"
"110.0","18.0","0.0","0.0","145.0","15.0","108.0","11.0","38.0","9.0","2"
"9.0","17.0","0.0","0.0","152.0","8.0","0.0","0.0","13.0","1.0","2"
"3.0","5.0","0.0","0.0","185.0","8.0","0.0","0.0","0.0","0.0","4"
"0.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
